id_depto,depto,prov_id,prov,año,evento,edad_id,edad_desc,semanas,cantidad
714,Salto,06,Buenos Aires,2024,Dengue,7,De 15 a 19 años,12,1
133,Vera,82,Santa Fe,2024,Dengue,11,De 45 a 65 años,3,1
042,Juan Bautista Alberdi,90,Tucumán,2024,Dengue,11,De 45 a 65 años,6,3
105,Maracó,42,La Pampa,2024,Dengue,8,De 20 a 24 años,11,4
042,Capayán,10,Catamarca,2024,Dengue,2,Posneonato (29 hasta 365 dÍas),17,1
999,desconocido,99,desconocida,2024,Dengue,6,De 10 a 14 años,16,1
441,La Plata,06,Buenos Aires,2024,Dengue,12,Mayores de 65 años,5,1
999,desconocido,99,desconocida,2024,Dengue,9,De 25 a 34 años,11,1
049,Famatina,46,La Rioja,2024,Dengue,5,De 5 a 9 años,15,1
049,Capital,86,Santiago del Estero,2024,Dengue,2,Posneonato (29 hasta 365 dÍas),16,2
014,Caseros,82,Santa Fe,2024,Dengue,11,De 45 a 65 años,7,1
098,Tafí del Valle,90,Tucumán,2024,Dengue,7,De 15 a 19 años,15,2
042,Pilagás,34,Formosa,2024,Dengue,7,De 15 a 19 años,11,1
042,General López,82,Santa Fe,2024,Dengue,7,De 15 a 19 años,9,1
126,Campana,06,Buenos Aires,2024,Dengue,8,De 20 a 24 años,15,1
098,San Ignacio,54,Misiones,2024,Dengue,6,De 10 a 14 años,10,5
028,Chacabuco,22,Chaco,2024,Dengue,9,De 25 a 34 años,17,1
049,La Cocha,90,Tucumán,2024,Dengue,10,De 35 a 44 años,9,4
154,San Miguel,18,Corrientes,2024,Dengue,8,De 20 a 24 años,14,1
091,Maipú,22,Chaco,2024,Dengue,11,De 45 a 65 años,1,3
119,Yerba Buena,90,Tucumán,2024,Dengue,9,De 25 a 34 años,17,3
999,desconocido,02,CABA,2024,Dengue,8,De 20 a 24 años,14,2
049,Ischilín,14,Córdoba,2024,Dengue,7,De 15 a 19 años,6,1
